Entity,Code,Year,Wind per capita (kWh - equivalent)
South Africa,ZAF,2015,148.00706
Vietnam,VNM,2015,5.161526
Venezuela,VEN,2015,6.4868293
Uzbekistan,UZB,2015,0
United States,USA,2015,1598.1985
Ukraine,UKR,2015,64.9198
Taiwan,TWN,2015,174.6935
Turkey,TUR,2015,393.98978
Trinidad and Tobago,TTO,2015,0
Turkmenistan,TKM,2015,0
Thailand,THA,2015,12.56565
Sweden,SWE,2015,4447.938
Slovenia,SVN,2015,7.769205
Slovakia,SVK,2015,2.9803333
Singapore,SGP,2015,0
Saudi Arabia,SAU,2015,0
Russia,RUS,2015,2.7556777
Romania,ROU,2015,955.51025
Qatar,QAT,2015,0
Portugal,PRT,2015,3015.7002
Poland,POL,2015,758.44116
Philippines,PHL,2015,19.561602
Peru,PER,2015,52.117744
Pakistan,PAK,2015,7.640908
Oman,OMN,2015,0
New Zealand,NZL,2015,1386.8665
Norway,NOR,2015,1304.8862
Netherlands,NLD,2015,1193.0912
Malaysia,MYS,2015,0
North Macedonia,MKD,2015,154.28255
Mexico,MEX,2015,196.00763
Morocco,MAR,2015,195.63396
Latvia,LVA,2015,198.73326
Luxembourg,LUX,2015,481.67657
Lithuania,LTU,2015,736.2649
Sri Lanka,LKA,2015,43.31763
Kuwait,KWT,2015,0
South Korea,KOR,2015,70.893105
Kazakhstan,KAZ,2015,19.888218
Japan,JPN,2015,110.52865
Italy,ITA,2015,663.66064
Israel,ISR,2015,2.2547524
Iceland,ISL,2015,88.61557
Iraq,IRQ,2015,0
Iran,IRN,2015,4.642441
Ireland,IRL,2015,3794.4668
India,IND,2015,66.65194
Indonesia,IDN,2015,0.038489122
Hungary,HUN,2015,189.5756
Croatia,HRV,2015,503.80643
Hong Kong,HKG,2015,0.29505122
Greece,GRC,2015,1151.5347
United Kingdom,GBR,2015,1662.8556
France,FRA,2015,901.044
Finland,FIN,2015,1155.1957
Estonia,EST,2015,1464.8254
Spain,ESP,2015,2860.8015
Egypt,EGY,2015,52.207943
Ecuador,ECU,2015,16.429016
Algeria,DZA,2015,1.2939382
Denmark,DNK,2015,6703.3105
Germany,DEU,2015,2645.4204
Czechia,CZE,2015,146.5246
Cyprus,CYP,2015,503.21045
Colombia,COL,2015,3.9078877
China,CHN,2015,358.6045
Chile,CHL,2015,318.67096
Switzerland,CHE,2015,35.768703
Canada,CAN,2015,2032.3378
Brazil,BRA,2015,283.82437
Belarus,BLR,2015,10.826726
Bulgaria,BGR,2015,534.965
Bangladesh,BGD,2015,0.086767055
Belgium,BEL,2015,1334.479
Azerbaijan,AZE,2015,1.2560357
Austria,AUT,2015,1508.2473
Australia,AUS,2015,1337.7676
Argentina,ARG,2015,36.93812
United Arab Emirates,ARE,2015,0.4485859
South Africa,ZAF,2014,52.7667
Vietnam,VNM,2014,2.0458806
Venezuela,VEN,2014,9.818637
Uzbekistan,UZB,2014,0
United States,USA,2014,1543.6039
Ukraine,UKR,2014,67.817345
Taiwan,TWN,2014,173.5493
Turkey,TUR,2014,295.49405
Trinidad and Tobago,TTO,2014,0
Turkmenistan,TKM,2014,0
Thailand,THA,2014,15.33431
Sweden,SWE,2014,3122.2346
Slovenia,SVN,2014,5.221077
Slovakia,SVK,2014,2.9983916
Singapore,SGP,2014,0
Saudi Arabia,SAU,2014,0
Russia,RUS,2014,1.804487
Romania,ROU,2014,639.96796
Qatar,QAT,2014,0
Portugal,PRT,2014,3152.357
Poland,POL,2014,539.12494
Philippines,PHL,2014,4.065364
Peru,PER,2014,22.981937
Pakistan,PAK,2014,4.076531
Oman,OMN,2014,0
New Zealand,NZL,2014,1327.0178
Norway,NOR,2014,1168.9678
Netherlands,NLD,2014,926.35785
Malaysia,MYS,2014,0
North Macedonia,MKD,2014,90.890755
Mexico,MEX,2014,146.5965
Morocco,MAR,2014,152.17442
Latvia,LVA,2014,136.0584
Luxembourg,LUX,2014,389.14163
Lithuania,LTU,2014,578.1055
Sri Lanka,LKA,2014,34.751556
Kuwait,KWT,2014,0
South Korea,KOR,2014,61.383427
Kazakhstan,KAZ,2014,2.0427501
Japan,JPN,2014,106.55545
Italy,ITA,2014,681.6578
Israel,ISR,2014,2.0310946
Iceland,ISL,2014,69.34906
Iraq,IRQ,2014,0
Iran,IRN,2014,6.7759933
Ireland,IRL,2014,3013.1843
India,IND,2014,69.33092
Indonesia,IDN,2014,0
Hungary,HUN,2014,180.24402
Croatia,HRV,2014,461.63776
Hong Kong,HKG,2014,0.33172324
Greece,GRC,2014,919.99335
United Kingdom,GBR,2014,1336.6687
France,FRA,2014,734.91986
Finland,FIN,2014,549.217
Estonia,EST,2014,1244.7749
Spain,ESP,2014,3032.5984
Egypt,EGY,2014,29.137262
Ecuador,ECU,2014,13.537432
Algeria,DZA,2014,0.06987413
Denmark,DNK,2014,6270.2383
Germany,DEU,2014,1935.9438
Czechia,CZE,2014,122.74065
Cyprus,CYP,2014,423.28317
Colombia,COL,2014,4.0760326
China,CHN,2014,312.45743
Chile,CHL,2014,221.03973
Switzerland,CHE,2014,33.417908
Canada,CAN,2014,980.7393
Brazil,BRA,2014,162.58145
Belarus,BLR,2014,2.5159419
Bulgaria,BGR,2014,489.11282
Bangladesh,BGD,2014,0.088341
Belgium,BEL,2014,1118.6906
Azerbaijan,AZE,2014,0.6387086
Austria,AUT,2014,1219.1062
Australia,AUS,2014,1128.561
Argentina,ARG,2014,39.189686
United Arab Emirates,ARE,2014,0.9116789
South Africa,ZAF,2013,1.8717988
Vietnam,VNM,2013,2.0802712
Venezuela,VEN,2013,8.062615
Uzbekistan,UZB,2013,0
United States,USA,2013,1446.7435
Ukraine,UKR,2013,38.414547
Taiwan,TWN,2013,191.58345
Turkey,TUR,2013,268.9769
Trinidad and Tobago,TTO,2013,0
Turkmenistan,TKM,2013,0
Thailand,THA,2013,13.760699
Sweden,SWE,2013,2779.9504
Slovenia,SVN,2013,5.254307
Slovakia,SVK,2013,3.0215855
Singapore,SGP,2013,0
Saudi Arabia,SAU,2013,0
Russia,RUS,2013,0.08470902
Romania,ROU,2013,613.9016
Qatar,QAT,2013,0
Portugal,PRT,2013,3129.121
Poland,POL,2013,423.8418
Philippines,PHL,2013,1.7947544
Peru,PER,2013,0.1091181
Pakistan,PAK,2013,2.009136
Oman,OMN,2013,0
New Zealand,NZL,2013,1238.123
Norway,NOR,2013,1009.02313
Netherlands,NLD,2013,909.2316
Malaysia,MYS,2013,0
North Macedonia,MKD,2013,0
Mexico,MEX,2013,97.2339
Morocco,MAR,2013,97.95161
Latvia,LVA,2013,159.6486
Luxembourg,LUX,2013,416.67587
Lithuania,LTU,2013,542.43915
Sri Lanka,LKA,2013,30.254614
Kuwait,KWT,2013,0
South Korea,KOR,2013,62.46263
Kazakhstan,KAZ,2013,0.7142326
Japan,JPN,2013,109.57197
Italy,ITA,2013,673.1686
Israel,ISR,2013,2.117484
Iceland,ISL,2013,46.1197
Iraq,IRQ,2013,0
Iran,IRN,2013,7.6073737
Ireland,IRL,2013,2697.8015
India,IND,2013,63.341858
Indonesia,IDN,2013,0.001075902
Hungary,HUN,2013,197.74258
Croatia,HRV,2013,327.01062
Hong Kong,HKG,2013,0.3121603
Greece,GRC,2013,1033.5336
United Kingdom,GBR,2013,1203.5978
France,FRA,2013,690.84503
Finland,FIN,2013,387.70084
Estonia,EST,2013,1093.9017
Spain,ESP,2013,3261.3184
Egypt,EGY,2013,46.015686
Ecuador,ECU,2013,9.828868
Algeria,DZA,2013,0
Denmark,DNK,2013,5389.058
Germany,DEU,2013,1759.6636
Czechia,CZE,2013,123.97749
Cyprus,CYP,2013,539.4914
Colombia,COL,2013,3.3965983
China,CHN,2013,273.83722
Chile,CHL,2013,84.840935
Switzerland,CHE,2013,30.325949
Canada,CAN,2013,866.30884
Brazil,BRA,2013,88.84502
Belarus,BLR,2013,2.2500498
Bulgaria,BGR,2013,503.92126
Bangladesh,BGD,2013,0.0899896
Belgium,BEL,2013,899.6147
Azerbaijan,AZE,2013,0.22679915
Austria,AUT,2013,1013.48315
Australia,AUS,2013,1091.8516
Argentina,ARG,2013,29.149136
United Arab Emirates,ARE,2013,0.46339393
South Africa,ZAF,2012,1.9089584
Vietnam,VNM,2012,1.2496642
Venezuela,VEN,2012,0
Uzbekistan,UZB,2012,0
United States,USA,2012,1231.7151
Ukraine,UKR,2012,17.403467
Taiwan,TWN,2012,166.80849
Turkey,TUR,2012,213.47429
Trinidad and Tobago,TTO,2012,0
Turkmenistan,TKM,2012,0
Thailand,THA,2012,0.681111
Sweden,SWE,2012,2055.881
Slovenia,SVN,2012,0
Slovakia,SVK,2012,3.0400414
Singapore,SGP,2012,0
Saudi Arabia,SAU,2012,0
Russia,RUS,2012,0.10018069
Romania,ROU,2012,359.4711
Qatar,QAT,2012,0
Portugal,PRT,2012,2673.6392
Poland,POL,2012,336.97537
Philippines,PHL,2012,2.1072102
Peru,PER,2012,0.11017891
Pakistan,PAK,2012,0.25764173
Oman,OMN,2012,0
New Zealand,NZL,2012,1292.6648
Norway,NOR,2012,845.6798
Netherlands,NLD,2012,813.7988
Malaysia,MYS,2012,0
North Macedonia,MKD,2012,0
Mexico,MEX,2012,87.36581
Morocco,MAR,2012,59.85006
Latvia,LVA,2012,144.19757
Luxembourg,LUX,2012,400.3171
Lithuania,LTU,2012,483.4329
Sri Lanka,LKA,2012,19.152811
Kuwait,KWT,2012,0
South Korea,KOR,2012,50.423492
Kazakhstan,KAZ,2012,0.42715383
Japan,JPN,2012,101.383644
Italy,ITA,2012,610.75446
Israel,ISR,2012,2.1659944
Iceland,ISL,2012,0
Iraq,IRQ,2012,0
Iran,IRN,2012,10.035218
Ireland,IRL,2012,2409.5369
India,IND,2012,59.018578
Indonesia,IDN,2012,0.050510563
Hungary,HUN,2012,213.11229
Croatia,HRV,2012,208.25983
Hong Kong,HKG,2012,0.3993453
Greece,GRC,2012,962.86066
United Kingdom,GBR,2012,852.8539
France,FRA,2012,656.7971
Finland,FIN,2012,250.34584
Estonia,EST,2012,899.68713
Spain,ESP,2012,2901.206
Egypt,EGY,2012,40.15527
Ecuador,ECU,2012,0.42517325
Algeria,DZA,2012,0
Denmark,DNK,2012,5027.626
Germany,DEU,2012,1737.7181
Czechia,CZE,2012,108.85764
Cyprus,CYP,2012,438.5936
